timestamp,client_ip,method,path,status,response_time_ms,bytes_sent,cache_hit,conditional_hit
1757623036,127.0.0.1,GET,/index.html,200,106,321,miss,-
1757623055,127.0.0.1,GET,/index.html,200,4,321,hit,-
1757624541,127.0.0.1,GET,/index.html,200,4,321,miss,-
1757624765,127.0.0.1,GET,/index.html,200,80,321,miss,-
1757624822,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757624839,127.0.0.1,GET,/naoexiste.txt,404,1,9,-,-
1757625165,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757625173,127.0.0.1,GET,/index.html,200,4,321,miss,-
1757625798,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757625828,127.0.0.1,GET,/index.html,200,3,321,miss,-
1757625871,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757625885,127.0.0.1,GET,/index.html,200,3,321,miss,-
1757626187,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757626200,127.0.0.1,GET,/index.html,200,4,321,miss,-
1757686357,127.0.0.1,GET,/index.html,200,80,321,miss,-
1757686402,127.0.0.1,HEAD,/index.html,200,3,0,-,-
1757686411,127.0.0.1,GET,/naoexiste.txt,404,2,9,-,-
1757686485,127.0.0.1,HEAD,/index.html,200,1,0,-,-
1757686491,127.0.0.1,GET,/index.html,200,5,321,miss,-
1757686522,127.0.0.1,HEAD,/index.html,200,0,0,-,-
1757686534,127.0.0.1,GET,/index.html,200,3,321,miss,-
1757686561,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757686585,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757686627,127.0.0.1,GET,/index.html,200,3,321,miss,-
1757686672,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757686681,127.0.0.1,HEAD,/index.html,200,0,0,-,-
1757686692,127.0.0.1,GET,/index.html,200,3,321,miss,-
1757687059,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757687070,127.0.0.1,GET,/index.html,200,5,321,miss,-
1757687131,127.0.0.1,GET,/index.html,200,14,321,miss,-
1757687869,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757687878,127.0.0.1,GET,/index.html,200,1,321,miss,-
1757688960,127.0.0.1,HEAD,/index.html,200,120,0,-,-
1757688970,127.0.0.1,GET,/index.html,304,3,0,-,1
1757730361,127.0.0.1,GET,/index.html,200,54,321,miss,-
1757730378,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757730391,127.0.0.1,GET,/naoexiste.txt,404,1,9,-,-
1757730407,127.0.0.1,HEAD,/index.html,200,1,0,-,-
1757730420,127.0.0.1,GET,/index.html,304,4,0,-,1
1757730457,127.0.0.1,HEAD,/index.html,200,2,0,-,-
1757730470,127.0.0.1,GET,/index.html,200,3,321,miss,-
1757730504,127.0.0.1,GET,/index.html,200,2,321,miss,-
1757730514,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757730525,127.0.0.1,GET,/index.html,200,4,321,bypass,-
1757731192,127.0.0.1,HEAD,/image_large.jpg,200,2,0,-,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,miss,-
1757731257,127.0.0.1,GET,/index.html,200,3,321,miss,-
1757731257,127.0.0.1,GET,/index.html,200,1,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,1,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,15,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,6,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,6,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,15,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,12,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,7,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,6,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,4,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,16,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,9,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,14,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,25,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,27,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,12,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,6,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,18,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,7,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,7,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,14,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,16,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,4,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,13,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,12,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,4,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,10,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,6,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,17,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,9,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,5,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,28,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,4,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,3,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,4,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,4,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,8,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,11,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,10,321,hit,-
1757731257,127.0.0.1,GET,/index.html,200,2,321,hit,-
